date,store,product,category,sales_units,xgb_predicted,rf_predicted,xgb_error,rf_error
2023-10-02,Store_Bangalore,Biscuits 200g,Snacks,129,64,59,65,70
2023-10-03,Store_Bangalore,Biscuits 200g,Snacks,86,65,59,21,27
2023-10-04,Store_Bangalore,Biscuits 200g,Snacks,23,61,52,38,29
2023-10-05,Store_Bangalore,Biscuits 200g,Snacks,98,63,60,35,38
2023-10-06,Store_Bangalore,Biscuits 200g,Snacks,73,65,56,8,17
2023-10-07,Store_Bangalore,Biscuits 200g,Snacks,96,81,69,15,27
2023-10-08,Store_Bangalore,Biscuits 200g,Snacks,91,84,74,7,17
2023-10-09,Store_Bangalore,Biscuits 200g,Snacks,67,73,64,6,3
2023-10-10,Store_Bangalore,Biscuits 200g,Snacks,29,71,62,42,33
2023-10-11,Store_Bangalore,Biscuits 200g,Snacks,82,68,63,14,19
2023-10-12,Store_Bangalore,Biscuits 200g,Snacks,70,69,60,1,10
2023-10-13,Store_Bangalore,Biscuits 200g,Snacks,75,64,61,11,14
2023-10-14,Store_Bangalore,Biscuits 200g,Snacks,88,86,69,2,19
2023-10-15,Store_Bangalore,Biscuits 200g,Snacks,40,87,76,47,36
2023-10-16,Store_Bangalore,Biscuits 200g,Snacks,92,65,60,27,32
2023-10-17,Store_Bangalore,Biscuits 200g,Snacks,136,62,55,74,81
2023-10-18,Store_Bangalore,Biscuits 200g,Snacks,27,70,66,43,39
2023-10-19,Store_Bangalore,Biscuits 200g,Snacks,110,69,66,41,44
2023-10-20,Store_Bangalore,Biscuits 200g,Snacks,54,72,69,18,15
2023-10-21,Store_Bangalore,Biscuits 200g,Snacks,113,84,77,29,36
2023-10-22,Store_Bangalore,Biscuits 200g,Snacks,127,79,82,48,45
2023-10-23,Store_Bangalore,Biscuits 200g,Snacks,29,67,74,38,45
2023-10-24,Store_Bangalore,Biscuits 200g,Snacks,65,76,75,11,10
2023-10-25,Store_Bangalore,Biscuits 200g,Snacks,21,67,72,46,51
2023-10-26,Store_Bangalore,Biscuits 200g,Snacks,81,72,73,9,8
2023-10-27,Store_Bangalore,Biscuits 200g,Snacks,86,66,72,20,14
2023-10-28,Store_Bangalore,Biscuits 200g,Snacks,20,86,87,66,67
2023-10-29,Store_Bangalore,Biscuits 200g,Snacks,125,88,85,37,40
2023-10-30,Store_Bangalore,Biscuits 200g,Snacks,47,66,69,19,22
2023-10-31,Store_Bangalore,Biscuits 200g,Snacks,76,66,65,10,11
2023-11-01,Store_Bangalore,Biscuits 200g,Snacks,44,80,68,36,24
2023-11-02,Store_Bangalore,Biscuits 200g,Snacks,31,79,76,48,45
2023-11-03,Store_Bangalore,Biscuits 200g,Snacks,18,72,69,54,51
2023-11-04,Store_Bangalore,Biscuits 200g,Snacks,81,81,77,0,4
2023-11-05,Store_Bangalore,Biscuits 200g,Snacks,141,83,67,58,74
2023-11-06,Store_Bangalore,Biscuits 200g,Snacks,33,83,74,50,41
2023-11-07,Store_Bangalore,Biscuits 200g,Snacks,102,82,70,20,32
2023-11-08,Store_Bangalore,Biscuits 200g,Snacks,25,82,74,57,49
2023-11-09,Store_Bangalore,Biscuits 200g,Snacks,22,82,70,60,48
2023-11-10,Store_Bangalore,Biscuits 200g,Snacks,63,81,70,18,7
2023-11-11,Store_Bangalore,Biscuits 200g,Snacks,74,90,74,16,0
